Date,US_IP,China_IP,EU19_IP,US Natural Gas Withdrawals (BCF),U.S. Production of Crude Oil (Kbarrel),US MB,EU MB,US 10Yr R
Jan.08,102.3148,116.4,109.5,2155,158566,830.6,870184,1.47
Feb.08,101.9384,115.4,109.3,2044,149297,829.5,854490,1.41
Mar.08,101.5904,117.8,108.8,2204,160868,833,858734,1.09
Apr.08,100.9098,115.7,110.1,2113,155403,830.2,870291,1.36
May.08,100.3073,116.0,106.9,2153,159437,834.7,876567,1.46
Jun.08,100.0853,116.0,107.0,2119,154133,840.2,879685,1.63
Jul.08,99.6124,114.7,106.0,2205,160481,847,890260,1.57
Aug.08,98.0601,112.8,105.6,2194,155092,847.6,901189,1.68
Sep.08,93.8451,111.4,104.8,1920,119208,909.7,899514,1.85
Oct.08,94.7036,108.2,102.3,2153,146868,1136.4,921021,2.75
Nov.08,93.4737,105.4,98.5,2150,152343,1442.3,1154417,2.89
Dec.08,90.8250,105.7,94.9,2227,158183,1666.4,1150668,2.17
Jan.09,88.5830,111.0,91.0,2252,159467,1712,1213077,1.91
Feb.09,88.0069,111.0,89.0,2074,146698,1561.7,1137721,1.75
Mar.09,86.6045,108.3,87.8,2262,161776,1647.3,1055540,1.71
Apr.09,85.9406,107.3,86.6,2148,158344,1753.2,1026643,1.57
May.09,85.0635,108.9,88.7,2190,166684,1775.1,1021015,1.72
Jun.09,84.7841,110.7,89.2,2141,158079,1683.7,999984,1.86
Jul.09,85.7471,110.8,89.4,2170,167336,1673.6,1102021,1.82
Aug.09,86.7094,112.3,89.5,2193,167945,1710.8,1172804,1.77
Sep.09,87.4072,113.9,91.6,2089,166765,1801.2,1122684,1.64
Oct.09,87.6595,116.1,91.3,2197,171258,1936.3,1093090,1.48
Nov.09,88.0061,119.2,91.5,2144,161838,2024.6,1069955,1.28
Dec.09,88.2819,118.5,91.5,2196,169004,2026.2,1052340,1.36
Jan.10,89.2744,112.8,93.1,2210,167529,1995,1155017,1.37
Feb.10,89.5648,112.8,92.6,2048,155496,2115.2,1162760,1.42
Mar.10,90.2296,118.1,94.3,2277,170976,2079.6,1182899,1.51
Apr.10,90.5689,117.8,94.7,2190,161769,2014.4,1206124,1.5
May.10,91.8247,116.5,96.5,2237,167427,2012.3,1227219,1.31
Jun.10,92.0070,113.7,96.6,2139,161385,2002.4,1307508,1.26
Jul.10,92.3967,113.4,96.2,2209,164234,1994.3,1257789,1.24
Aug.10,92.7118,113.9,97.1,2235,168867,1993.7,1131735,1.02
Sep.10,92.9252,113.3,97.2,2238,168473,1961.2,1114968,0.91
Oct.10,92.7115,113.1,98.0,2357,174547,1961.7,1096072,0.53
Nov.10,92.7535,113.3,98.9,2277,167272,1973.1,1070684,0.67
Dec.10,93.6492,113.5,99.6,2400,173831,2017,1073068,1.04
Jan.11,93.4768,114.9,99.1,2299,170393,2047.9,1112664,1.06
Feb.11,93.0617,114.9,100.1,2104,151354,2211.6,1074832,1.24
Mar.11,94.0244,114.8,100.2,2411,174158,2395.3,1060713,0.96
Apr.11,93.7011,113.4,99.8,2350,166858,2496.6,1057860,0.86
May.11,93.8490,113.3,100.4,2411,174363,2567.2,1066095,0.78
Jun.11,94.0844,115.1,99.0,2313,167673,2648.5,1063970,0.76
Jul.11,94.5881,114.0,100.0,2340,168635,2684.8,1086629,0.62
Aug.11,95.1605,113.5,100.1,2370,175618,2657.7,1122369,0.14
Sep.11,95.0855,113.8,99.1,2358,168411,2637.7,1184512,0.08
Oct.11,95.6902,113.2,98.8,2502,182977,2637.8,1232234,0.19
Nov.11,95.7307,112.4,99.1,2476,181157,2605.4,1274846,0
Dec.11,96.2047,112.8,98.5,2544,189487,2619.6,1335315,-0.03
Jan.12,96.7772,111.4,97.7,2571,191439,2640.8,1495303,-0.11
Feb.12,97.0510,111.4,98.4,2360,181759,2694.4,1467124,-0.25
Mar.12,96.5714,111.9,98.2,2524,196116,2655.2,1598632,-0.14
Apr.12,97.3139,109.3,97.4,2417,189590,2639.8,1752124,-0.21
May.12,97.4669,109.6,98.3,2491,197441,2616.5,1754619,-0.34
Jun.12,97.4577,109.5,97.4,2377,188255,2618.8,1762300,-0.5
Jul.12,97.6786,109.2,97.7,2465,199361,2647.8,1774568,-0.6
Aug.12,97.2842,108.9,98.4,2374,196854,2650.7,1750966,-0.59
Sep.12,97.2295,109.2,96.6,2410,197923,2594.9,1766244,-0.71
Oct.12,97.5344,109.6,95.8,2557,216041,2611.8,1736211,-0.75
Nov.12,97.9837,110.1,95.1,2471,212424,2646.8,1675264,-0.77
Dec.12,98.2122,110.3,95.6,2524,220259,2675.9,1630969,-0.76
Jan.13,98.1664,,95.2,2512,219590,2741.7,1630913,-0.61
Feb.13,98.6458,109.9,95.3,2270,200376,2845.3,1534126,-0.57
Mar.13,99.0597,108.9,96.4,2504,223674,2935,1428842,-0.59
Apr.13,98.9927,109.3,96.6,2446,221261,3011.7,1369052,-0.65
May.13,99.0726,109.2,96.8,2489,227152,3116.9,1333817,-0.36
Jun.13,99.2065,108.9,96.8,2385,218381,3201.5,1294876,0.25
Jul.13,98.9204,109.7,96.0,2512,233238,3290.9,1287884,0.46
Aug.13,99.4996,110.4,96.4,2495,233609,3398.9,1269797,0.55
Sep.13,100.0568,110.2,96.6,2414,235183,3486.9,1274160,0.66
Oct.13,99.9168,110.3,96.1,2513,240594,3589.5,1245577,0.43
Nov.13,100.1762,110.0,97.4,2455,237602,3684.6,1217405,0.55
Dec.13,100.3658,109.7,97.2,2526,245947,3717.5,1194434,0.74
Jan.14,100.0380,,96.9,2580,250425,3728.5,1256049,0.63
Feb.14,100.7918,108.6,97.6,2357,228401,3833.4,1189952,0.55
Mar.14,101.7782,108.8,97.0,2624,257220,3885.9,1162787,0.56
Apr.14,101.8337,108.7,98.6,2584,255795,3930.7,1162843,0.54
May.14,102.2325,108.8,97.8,2633,267996,3911.5,1168842,0.37
Jun.14,102.5722,109.2,97.3,2560,262288,3948.7,1171555,0.37
Jul.14,102.8479,109.0,98.1,2629,274131,3989.1,1196267,0.28
Aug.14,102.6491,106.9,96.4,2645,276813,4075,1202497,0.22
Sep.14,102.9858,108.0,97.4,2626,272571,4049.2,1207122,0.46
Oct.14,102.9911,107.7,97.1,2736,287193,4001.5,1188228,0.38
Nov.14,103.6669,107.2,96.8,2662,279793,3830.4,1192818,0.45
Dec.14,103.6139,107.9,98.2,2770,296480,3934.5,1192512,0.51
Jan.15,102.8479,,97.7,2790,290856,4017.1,1292102,0.27
Feb.15,102.2292,106.8,100.4,2521,266115,3840.5,,0.26
Mar.15,101.8945,105.6,100.5,2828,297040,4030.6,1273080,0.28
Apr.15,101.2859,105.9,99.4,2759,289735,4059.4,1346375,0.08
May.15,100.8408,106.1,100.0,2791,293683,3949.4,,0.33
Jun.15,100.5063,106.8,100.3,2660,280747,3919.6,1430509,0.5
Jul.15,101.1831,106.0,100.9,2756,292813,3961.2,1527158,0.5
Aug.15,100.9115,106.1,99.8,2745,291691,3984,,0.56
Sep.15,100.5680,105.7,100.4,2721,284398,4028.5,1631786,0.65
Oct.15,100.1588,105.6,100.7,2806,291410,4060.5,1670509,0.57
Nov.15,99.4099,106.2,100.0,2726,279975,4006.7,,0.69
Dec.15,98.8329,105.9,100.0,2812,287528,3835.8,1723357,0.73
Jan.16,99.4797,,102.9,2823,285245,3792.7,1826466,0.67
Feb.16,98.9583,105.4,101.3,2654,262841,3872.5,,0.47
Mar.16,98.1954,106.8,100.7,2825,281716,3898.4,1850448,0.34
Apr.16,98.4673,106.0,101.7,2679,266122,3872.9,1901262,0.19
May.16,98.2889,106.0,100.3,2768,273781,3836.5,,0.21
Jun.16,98.7201,106.2,101.4,2628,260163,3825.5,2009398,0.17
Jul.16,98.8992,106.0,101.2,2721,268470,3772.5,2067693,0.04
Aug.16,98.7249,106.3,101.4,2723,269331,3816.7,,0.09
Sep.16,98.6060,106.1,101.6,2626,256249,3735.9,2200150,0.12
Oct.16,98.6703,106.1,103.0,2720,272860,3572.1,2259372,0.1
Nov.16,98.2288,106.2,102.8,2678,267035,3629.8,,0.32
Dec.16,98.8958,106.0,102.5,2747,273244,3531.6,2366303,0.56
Jan.17,98.7446,,102.1,2724,275058,3595.5,2472615,0.42
Feb.17,98.3676,106.3,103.0,2493,255059,3746.4,,0.4
Mar.17,99.1065,107.6,102.6,2797,284208,3856.3,2550937,0.49
Apr.17,100.0363,106.5,103.3,2690,273090,3821.7,,0.39
May.17,100.1470,106.5,103.8,2779,284718,3774.4,2749424,0.47
Jun.17,100.3042,107.6,103.4,2688,273309,3762.8,2898485,0.46
Jul.17,100.2092,106.4,104.9,2754,286635,3795.4,2900841,0.55
Aug.17,99.7055,106.0,105.9,2770,286596,3910,,0.43
Sep.17,99.7485,106.6,105.2,2763,285487,3874.5,2996701,0.37
Oct.17,100.9880,106.2,106.1,2911,299429,3829.9,3044181,0.5
Nov.17,101.2730,106.1,108.1,2897,302310,3907.7,,0.5
Dec.17,101.3696,106.2,108.2,3025,309359,3851,3138794,0.5
Jan.18,101.3561,,105.9,2993,309881,3824.8,3122479,0.54
Feb.18,101.6495,107.2,105.2,2751,287727,3855.1,,0.76
Mar.18,102.2980,106.0,105.4,3069,324296,3800.6,3150081,0.75
Apr.18,103.4095,107.0,105.0,2976,314803,3727.1,,0.74
May.18,102.5408,106.8,106.6,3099,323159,3674.8,3122329,0.84
Jun.18,103.3045,106.0,106.4,2973,318837,3650.5,3183799,0.79
Jul.18,103.5474,106.0,104.8,3138,337540,3618.3,3142098,0.77
Aug.18,104.1659,106.1,106.5,3206,352575,3584.5,,0.79
Sep.18,104.1315,105.8,105.7,3154,342660,3559.8,3212047,0.88
Oct.18,103.9874,105.9,106.4,3315,356138,3520.9,3195074,1.04
