Date,Gold_LBMA Fix,Iron Ore_Fines cfr main China port 62%,Cu,WTI,NG_Nymex,EUR/USD,Dow,Shanghai Composite,US Oil Production (Kbarrel),US Natural Gas Storage (BCF),US Natural Gas Storage (YoY),US 10Yr R,US_IP,China_IP,EU19_IP,US MB,EU MB
2009-01-02,871.44 ,79.00 ,"3,430.00",40.83,5.516,1.344,"8,599.18","1,904.86",4935,2830,0.029090909,2.24,,,,,
2009-01-09,852.90 ,77.50 ,"3,359.00",36.51,4.801,1.3304,"8,281.22","1,954.44",4917,2736,0.016722408,2.48,,,,,
2009-01-16,825.70 ,81.00 ,"3,290.00",46.47,4.518,1.2992,"8,077.56","1,990.66",5052,2560,0.009463722,2.3,,,,,
2009-01-23,851.75 ,81.00 ,"3,211.75",41.68,4.417,1.2782,"8,000.86",,5045,2374,0.049513705,2.56,,,,,
2009-01-30,898.15 ,80.50 ,"3,600.00",40.17,4.774,1.2933,"8,280.59","2,181.24",5235,2179,0.056741028,2.75,,,,,
2009-02-06,909.35 ,84.50 ,"3,445.00",37.51,4.452,1.2862,"7,850.41","2,320.79",5327,2020,0.040164779,2.92,,,,,
2009-02-13,920.45 ,85.00 ,"3,170.00",38.94,4.006,1.2843,"7,365.67","2,261.48",5323,1996,0.127683616,2.88,,,,,
2009-02-20,964.90 ,82.00 ,"3,423.00",44.76,4.198,1.2669,"7,062.93","2,082.85",5300,1895,0.170475602,2.75,,,,,
2009-02-27,964.35 ,75.00 ,"3,716.00",45.52,3.945,1.2641,"6,626.94","2,193.01",5373,1793,0.208221024,2.91,,,,,
2009-03-06,927.25 ,67.50 ,"3,685.00",46.25,3.932,1.2925,"7,223.98","2,128.85",5401,1681,0.202432046,2.9,,,,,
2009-03-13,916.15 ,67.50 ,"3,960.00",51.06,4.227,1.3583,"7,278.38","2,281.09",5414,1651,0.257425743,2.92,,,,,
2009-03-20,929.60 ,66.00 ,"4,015.00",52.38,3.631,1.3301,"7,776.18","2,374.44",5432,1654,0.295223179,2.75,,,,,
2009-03-27,933.05 ,63.75 ,"4,350.00",52.51,3.801,1.3483,"8,017.59","2,419.78",5480,1654,0.325320513,2.74,,,,,
2009-04-03,915.45 ,63.50 ,"4,568.75",52.24,3.61,1.3188,"8,083.38","2,444.23",5469,1674,0.356564019,2.76,,,,,
2009-04-10,882.44 ,63.50 ,"4,795.00",50.33,3.729,1.3041,"8,131.33","2,503.93",5482,1695,0.344171293,2.93,,,,,
2009-04-17,887.06 ,62.50 ,"4,480.00",51.55,3.297,1.3255,"8,076.29","2,448.59",5421,1741,0.354863813,2.87,,,,,
2009-04-24,889.45 ,63.00 ,"4,625.00",53.2,3.546,1.3266,"8,212.41","2,477.57",5269,1823,0.32968636,2.96,,,,,
2009-05-01,894.75 ,64.50 ,"4,699.00",58.63,4.311,1.3647,"8,574.65","2,625.64",5280,1911,0.330779944,3.1,,,,,
2009-05-08,909.19 ,65.50 ,"4,435.00",56.34,4.098,1.3496,"8,268.64","2,645.26",5306,2005,0.311314585,3.23,,,,,
2009-05-15,921.30 ,67.00 ,"4,616.00",61.67,3.515,1.3994,"8,277.32","2,597.60",5352,2107,0.305452292,3.14,,,,,
2009-05-22,934.45 ,67.50 ,"4,795.00",66.31,3.835,1.4154,"8,500.33","2,632.93",5364,2213,0.300999412,3.29,,,,,
2009-05-29,953.31 ,69.00 ,"5,003.00",68.44,3.868,1.3975,"8,763.13","2,753.89",5358,2337,0.294019934,3.59,,,,,
2009-06-05,976.90 ,76.50 ,"5,225.00",72.04,3.857,1.4024,"8,799.26","2,743.76",5358,2443,0.29533404,3.7,,,,,
2009-06-12,952.65 ,75.00 ,"4,950.00",69.55,4.032,1.3943,"8,539.73","2,880.49",5273,2557,0.316006176,3.89,,,,,
2009-06-19,934.60 ,77.50 ,"5,052.50",69.16,3.949,1.4053,"8,438.39","2,928.21",5257,2651,0.30398426,3.75,,,,,
2009-06-26,930.05 ,81.50 ,"4,960.00",66.73,3.615,1.3964,"8,280.74","3,088.37",5163,2721,0.28470255,3.63,,,,,
2009-07-03,936.15 ,82.50 ,"4,880.00",59.89,3.373,1.3933,"8,146.52","3,113.93",5171,2796,0.266304348,3.53,,,,,
2009-07-10,918.55 ,87.00 ,"5,318.00",63.56,3.669,1.4099,"8,743.94","3,189.74",5171,2886,0.248269896,3.42,,,,,
